id;year;day;min;glo_avg;dir_avg;diff_avg;lw_avg;par_avg;lux_avg;tp_sfc;humid;press;rain;ws_10m;wd_10m
10;2019;91;0;-1.332;-0.112;-1.557;361.0;0;0;22.91;74.30;897.98;0;1.050;170.2
10;2019;91;1;-1.390;0;-1.564;361.0;0;0;22.93;74.40;898.06;0;0.933;174.8
10;2019;91;2;-1.095;-0.150;-1.515;361.1;0;0;22.62;74.30;898.14;0;0.753;175.7
10;2019;91;3;-1.259;-0.011;-1.523;361.5;0;0;22.90;74.20;898.14;0;0.827;176.5
10;2019;91;4;-1.379;-0.004;-1.551;361.5;0;0;22.91;74.20;898.14;0;0.685;179.3
10;2019;91;5;-1.399;-0.019;-1.567;361.7;0;0;23.08;74.10;898.14;0;0.906;178.9
10;2019;91;6;-1.545;-0.045;-1.567;361.4;0;0;22.76;74.10;898.14;0;0.767;183.0
10;2019;91;7;-1.364;-0.157;-1.564;361.3;0;0;22.86;74.00;898.14;0;0.725;186.0
10;2019;91;8;-1.052;-0.259;-1.507;361.1;0;0;22.72;74.00;898.14;0;0.715;190.5
10;2019;91;9;-0.868;-0.360;-1.478;361.2;0;0;22.91;74.10;898.22;0;0.718;183.3
10;2019;91;10;-0.681;-0.405;-1.350;361.2;0;0;22.95;74.20;898.30;0;0.741;176.7
10;2019;91;11;-0.911;-0.292;-1.418;361.4;0;0;22.75;74.30;898.22;0;0.599;177.1
10;2019;91;12;-0.736;-0.442;-1.392;361.3;0;0;22.83;74.30;898.22;0;0.628;182.7
10;2019;91;13;-0.716;-0.450;-1.298;361.5;0;0;22.65;74.60;898.22;0;0.725;178.4
10;2019;91;14;-0.973;-0.341;-1.374;361.7;0;0;22.60;74.60;898.22;0;0.833;175.4
10;2019;91;15;-1.183;-0.232;-1.395;361.9;0;0;22.77;74.70;898.22;0;0.754;178.2
10;2019;91;16;-1.113;-0.405;-1.356;361.5;0;0;22.93;74.70;898.22;0;0.712;181.8
10;2019;91;17;-1.168;-0.082;-1.369;362.1;0;0;22.78;74.80;898.22;0;0.761;182.7
10;2019;91;18;-1.323;-0.165;-1.452;361.9;0;0;22.78;74.90;898.30;0;0.756;181.4
10;2019;91;19;-1.221;-0.236;-1.413;361.7;0;0;22.68;74.90;898.23;0;0.802;183.6
10;2019;91;20;-1.171;-0.304;-1.384;361.3;0;0;22.47;74.90;898.23;0;0.803;179.3
10;2019;91;21;-1.186;-0.176;-1.410;361.7;0;0;22.50;75.10;898.23;0;0.957;185.5
10;2019;91;22;-1.364;-0.169;-1.457;362.0;0;0;22.73;74.90;898.31;0;0.892;181.7
10;2019;91;23;-1.204;-0.270;-1.384;362.2;0;0;22.39;74.90;898.23;0;0.830;178.3
10;2019;91;24;-1.078;-0.330;-1.329;363.3;0;0;22.72;74.90;898.23;0;0.867;178.4
10;2019;91;25;-1.326;-0.071;-1.389;363.7;0;0;22.36;74.90;898.31;0;0.958;186.1
10;2019;91;26;-1.423;-0.131;-1.442;363.6;0;0;22.29;74.60;898.23;0;0.907;183.9
10;2019;91;27;-1.393;-0.165;-1.426;363.3;0;0;22.93;74.70;898.22;0;0.796;178.3
10;2019;91;28;-1.402;-0.139;-1.491;362.9;0;0;22.85;74.50;898.30;0;0.654;178.7
10;2019;91;29;-1.326;-0.394;-1.481;362.7;0;0;22.78;74.50;898.30;0;0.824;175.5
10;2019;91;30;-1.396;-0.229;-1.478;362.9;0;0;22.81;74.50;898.30;0;0.858;170.9
10;2019;91;31;-1.396;-0.127;-1.444;363.4;0;0;22.80;74.40;898.31;0;0.988;175.0
10;2019;91;32;-1.443;0;-1.447;364.3;0;0;22.72;74.40;898.31;0;1.050;173.3
10;2019;91;33;-1.364;-0.060;-1.366;364.5;0;0;22.70;74.20;898.38;0;0.874;175.5
10;2019;91;34;-1.180;-0.082;-1.309;365.0;0;0;22.78;74.30;898.38;0;0.900;169.4
10;2019;91;35;-1.241;-0.011;-1.277;364.7;0;0;22.96;74.20;898.38;0;0.838;164.9
10;2019;91;36;-1.166;-0.045;-1.264;364.3;0;0;22.50;74.10;898.39;0;0.806;167.7
10;2019;91;37;-1.189;-0.045;-1.272;364.0;0;0;22.60;74.20;898.46;0;0.681;164.5
10;2019;91;38;-1.052;-0.120;-1.259;363.4;0;0;22.62;74.20;898.39;0;0.638;171.1
10;2019;91;39;-1.055;-0.131;-1.254;363.3;0;0;22.55;74.20;898.38;0;0.750;172.6
10;2019;91;40;-1.052;-0.105;-1.256;363.5;0;0;22.90;74.30;898.46;0;0.718;172.3
10;2019;91;41;-1.049;-0.187;-1.254;363.7;0;0;22.73;74.30;898.46;0;0.730;172.2
10;2019;91;42;-1.005;-0.154;-1.254;363.5;0;0;22.83;74.30;898.46;0;0.659;171.6
10;2019;91;43;-0.964;-0.165;-1.254;363.1;0;0;22.78;74.40;898.54;0;0.915;170.7
10;2019;91;44;-1.046;-0.030;-1.256;362.6;0;0;22.70;74.50;898.46;0;0.846;165.7
10;2019;91;45;-1.031;-0.214;-1.254;362.4;0;0;22.95;74.60;898.46;0;0.819;169.9
10;2019;91;46;-0.856;-0.277;-1.254;362.0;0;0;22.77;74.60;898.46;0;0.633;171.5
